,Player,Pos,Team,Gp,Mpg,Orpm,Drpm,Rpm,Wins,UUID,adjusted_wins
309,Eric Paschall,F,GS,40,17.4,-0.31,-1.12,-1.43,0.42,fd82625d-1d73-4ae1-bfd9-7c55704964e9,3.76
310,Damyean Dotson,SG,CLE,46,19.7,-0.56,-0.88,-1.44,0.53,a448efb6-22a5-42ee-8f9d-0b5e6fdf0395,3.87
311,Sterling Brown,SF,HOU,51,24.1,0.09,-1.53,-1.44,0.74,487e24fb-10ec-4417-9550-7c9ee68572ca,4.08
312,Thaddeus Young,PF,CHI,68,24.3,0.56,-2.01,-1.45,0.92,251cf798-a198-478f-8cfb-7a7bd077edcf,4.26
313,CJ Elleby,SG,POR,30,6.4,-1.07,-0.39,-1.46,0.10,d7c005de-0c5a-49a5-b18a-7cf247c7361c,3.44
314,Anthony Lamb,F,HOU,24,17.3,-0.37,-1.10,-1.47,0.23,14756c5e-e1f4-485f-b949-5cb40e4b73c1,3.57
315,Miye Oni,SG,UTAH,54,9.6,-1.17,-0.31,-1.48,0.27,0b442e3b-9ee5-4e8c-b30f-dd81e1abf06b,3.61
319,Luke Kennard,SG,LAC,63,19.6,0.35,-1.88,-1.53,0.59,06b1cea3-aef1-4c73-82f0-65b1fa5f1ec0,3.9299999999999997
320,Cassius Stanley,G,IND,24,3.9,-0.84,-0.70,-1.53,0.05,27f1e384-f141-4f8b-be18-90ea608ebee7,3.3899999999999997
322,Ryan Arcidiacono,G,CHI,44,10.2,-0.13,-1.42,-1.56,0.23,0ca522ed-f1e5-4d2d-baf0-4b91c14c7a52,3.57
323,Jaden McDaniels,PF,MIN,63,24.0,-1.06,-0.50,-1.56,0.67,a9024308-0a21-4940-ade9-73c630db186f,4.01
324,Nemanja Bjelica,PF,SAC/MIA,37,16.1,0.24,-1.81,-1.56,0.26,03ee19a3-322a-4d8d-9b6b-064f86e6ad19,3.5999999999999996
325,Tremont Waters,G,BOS,26,9.2,0.93,-2.50,-1.58,0.09,72521861-4326-405b-b75a-520141965fa7,3.4299999999999997
326,Mfiondu Kabengele,C,LAC/CLE,39,7.2,-0.84,-0.73,-1.58,0.11,5d04eae9-1d3f-4785-8352-e3f7cae76985,3.4499999999999997
328,Isaac Okoro,SF,CLE,67,32.4,-3.43,1.85,-1.58,0.78,07186299-7492-4cca-99d3-1003370dc903,4.12
329,Elfrid Payton,PG,NY,63,23.6,-4.08,2.50,-1.58,0.48,bdc8584e-6ad7-4acc-b689-01d48ad87080,3.82
330,James Nunnally,SF,NO,9,5.3,-0.14,-1.45,-1.59,0.02,36cf5af1-a441-4595-b022-dfe8acc0c5ca,3.36
331,Naji Marshall,SF,NO,32,21.9,-0.13,-1.46,-1.59,0.28,d6d871e2-6b3e-40e9-a666-b3d92ad2833d,3.62
332,Obi Toppin,PF,NY,62,11.0,-0.40,-1.20,-1.60,0.29,6e247819-a293-47a7-9e4a-7ebbc3cf961e,3.63
333,Dwayne Bacon,SG,ORL,72,25.7,-2.72,1.13,-1.60,0.67,87b65f49-2928-4375-af64-887bb4a53069,4.01
334,Khem Birch,C,ORL/TOR,67,22.8,-1.96,0.36,-1.60,0.59,e4ac4fbe-aa90-4216-a9c9-16614c0d9acc,3.9299999999999997
335,Markus Howard,PG,DEN,37,5.5,0.15,-1.76,-1.60,0.08,d4a92047-24f1-409a-a8f9-ef3ec3cc7d54,3.42
336,Marquese Chriss,SF,GS,2,13.5,-0.59,-1.03,-1.62,0.01,a3258f01-9d9d-41cf-9cc8-09802d325e04,3.3499999999999996
337,Terrence Ross,G,ORL,46,29.3,0.21,-1.83,-1.62,0.55,27f1c6b1-f02c-4d86-8ade-d93110fed343,3.8899999999999997
338,Mike James,PG,BKN,13,18.2,0.54,-2.16,-1.62,0.07,104a98c3-d4d5-45bc-8736-acd158f7a172,3.4099999999999997
341,Devin Cannady,G,ORL,8,9.3,-0.15,-1.50,-1.66,0.03,1c8e82fe-f72d-4953-aabb-39a06993a386,3.3699999999999997
342,Rajon Rondo,PG,ATL/LAC,45,17.1,0.73,-2.39,-1.66,0.29,cd4a52de-5f5b-4ed8-a062-f9bc6e075400,3.63
344,Trey Burke,PG,DAL,62,14.7,0.41,-2.07,-1.66,0.33,abd020b9-658b-4ddd-b269-525c8616ae63,3.67
346,LaMarcus Aldridge,C,SA/BKN,26,25.9,-1.04,-0.63,-1.67,0.21,f2da6a45-f0b7-4c20-be4c-c6f694d4ce9e,3.55
347,Anfernee Simons,SG,POR,64,17.3,0.61,-2.31,-1.70,0.30,eafe4996-9f4e-44bf-9c4b-29d112c48a65,3.6399999999999997
348,Thon Maker,F,CLE,8,9.5,-1.19,-0.53,-1.72,0.03,31ed6bd7-924f-45b7-9e19-81dacb908e22,3.3699999999999997
349,Isaiah Thomas,G,NO,3,16.0,0.08,-1.82,-1.75,0.01,a335578c-6e7e-4fa5-bb9d-c3181439274c,3.3499999999999996
350,Tyrese Haliburton,PG,SAC,58,30.1,1.28,-3.03,-1.75,0.44,6bfc26b7-38d6-4cb3-bf87-8c403c130844,3.78
351,Tomas Satoransky,SG,CHI,58,22.5,0.29,-2.04,-1.75,0.33,b623d903-b285-4f09-83e7-07a43b8f482d,3.67
353,Taj Gibson,F,NY,45,20.8,-0.90,-0.87,-1.77,0.21,8e37c54a-00ac-435b-a0bb-4261e632d568,3.55
354,Aaron Holiday,G,IND,66,17.8,0.06,-1.83,-1.77,0.28,1537018f-8f70-4e1a-876d-d7dfe4e32c9b,3.62
357,Carmelo Anthony,PF,POR,69,24.5,0.05,-1.85,-1.81,0.31,3807a8ee-fb89-4e24-a723-1b0b709a7a01,3.65
358,Josh Okogie,SF,MIN,59,20.3,-1.97,0.16,-1.81,0.20,e18e7367-b327-492e-b6a5-f33146533c9e,3.54
359,Gary Payton II,SG,GS,10,4.0,-0.68,-1.14,-1.82,0.01,53865bd0-adb5-44cb-8e93-3d18d1552540,3.3499999999999996
360,Bismack Biyombo,C,CHA,66,20.4,-2.68,0.86,-1.83,0.22,da767da1-be6c-4733-aa9a-3db35a8c454b,3.56
362,Andre Iguodala,F,MIA,63,21.3,-1.38,-0.46,-1.84,0.22,04eabe67-1489-4ba0-a12e-0ec83adefd56,3.56
363,Moses Brown,C,OKC,43,21.4,-2.18,0.33,-1.85,0.11,f129e257-d191-4b5b-a154-fe6650a4e21e,3.4499999999999997
364,Tony Bradley,C,PHI/OKC,42,16.3,-0.25,-1.61,-1.86,0.09,81133df9-b02d-4788-b4d1-41b26db2be39,3.4299999999999997
365,Jaylen Nowell,SG,MIN,42,18.1,0.49,-2.35,-1.86,0.11,15b071b7-5079-40c4-ad43-cb45a51da321,3.4499999999999997
