,Year,Player,Pos,Team,UUID
103,2002,Andrei Kirilenko,SF,Utah Jazz,a51a2b60-4b63-4783-b8a7-55ab13f9fc5d
104,2002,Shane Battier,SF,Memphis Grizzlies,83c0361a-fe16-42ab-b344-712091005b77
105,2002,Pau Gasol,PF,Memphis Grizzlies,a9e30495-6389-4abf-b861-cca562269443
106,2002,Tony Parker,G,San Antonio Spurs,c379561a-119d-4af0-92e7-8f28c6cdfd94
107,2002,Jason Richardson,SG,Golden State Warriors,ddd544af-b36d-46e1-815e-9c0566469aef
108,2001,Marc Jackson,PF,Golden State Warriors,bfa004da-d365-4765-ae94-35a0f65b68fd
109,2001,Kenyon Martin,PF,New Jersey Nets,95ff9580-4d68-46ba-aee8-83154fc7a1bd
110,2001,Darius Miles,SF,Los Angeles Clippers,e137e185-9d14-435b-b6b8-db4199204bf9
111,2001,Mike Miller,SG,Orlando Magic,0235790d-86c2-49b9-b093-b95bec9165e2
112,2001,Morris Peterson,SG,Toronto Raptors,3973ec40-3bc3-489b-ad15-18c2cc651007
113,2000,Elton Brand,PF,Chicago Bulls,1a076e4d-1d1c-4ff8-8807-0bab0c19f8ec
114,2000,Steve Francis,PG,Houston Rockets,db5d76d1-f6c1-40c9-a12d-cf464dfb14bc
115,2000,Andre Miller,PG,Cleveland Cavaliers,6b213b17-dec3-43d4-ad6b-0f989992830e
116,2000,Lamar Odom,PF,Los Angeles Clippers,400784ad-5144-4822-9fc2-213b26f735ed
117,2000,Wally Szczerbiak,SG,Minnesota Timberwolves,75c261cb-e4ba-4abc-8f14-3ae8563180ea
