,player,salary,year,perc,perc_score,team,uuid
136,Von Wafer,826269.0,2008,0.011272078988220174,1.127,HOU,4189b5be-3883-4e3e-aa18-210d2b07c59a
137,Joey Dorsey,816500.0,2008,0.011138808903494833,1.114,HOU,62dabef0-b8b0-4837-b753-03e154751589
138,Dikembe Mutombo,794491.0,2008,0.010838559001281707,1.084,HOU,8e555f1d-241c-4438-8bb0-ed81079037e9
139,Allen Iverson,20840625.0,2008,0.2917458666212057,85.116,DET,bd09a88b-9e70-4aaa-8101-9fdaaa7ef878
140,Rasheed Wallace,13930000.0,2008,0.19500470461098912,38.027,DET,59cc773b-c6d6-4242-ae3e-6795a5945ee2
141,Richard Hamilton,10812500.0,2008,0.15136312768171717,22.911,DET,972e9473-2c64-43bd-b2a7-94dd8236c4f3
142,Tayshaun Prince,9500000.0,2008,0.13298956883017923,17.686,DET,8abee38c-37f1-4c44-929d-2fb0d72d529e
143,Kwame Brown,4000000.0,2008,0.05599560792849652,3.136,DET,ee2a70fa-8405-4932-9ab5-d18c723217bb
144,Amir Johnson,3666667.0,2008,0.051329311934089135,2.635,DET,49d36efa-34b1-4527-825b-0b8f65f20697
145,Walter Herrmann,2000000.0,2008,0.02799780396424826,2.8,DET,6391e47c-8147-49fe-a4c2-f2de3c564fd9
146,Jason Maxiell,1877572.0,2008,0.026283946392380766,2.628,DET,455a8b41-678c-4e5e-8c94-92c9d6e740e5
147,Rodney Stuckey,1687320.0,2008,0.023620627292477686,2.362,DET,1091c607-4804-4e91-8c9a-c46b45971d40
148,Arron Afflalo,1015440.0,2008,0.014215045028728127,1.422,DET,ec6bea36-d8d2-44de-a5ec-2744c582ed2a
149,Antonio McDyess,950419.0,2008,0.013304822422948434,1.33,DET,7e12e271-e4f2-4ba2-ba1a-ed12410db263
150,Antonio McDyess,3000000.0,2008,0.042783187228511266,4.278,DEN,7e12e271-e4f2-4ba2-ba1a-ed12410db263
151,Will Bynum,711517.0,2008,0.009960456741615015,0.996,DET,5123cac4-cc2b-471d-a1f9-1597f49753dd
152,Walter Sharpe,442114.0,2008,0.006189110550924828,0.619,DET,14bab23f-c7c4-4363-bc8c-e6dbcf3f95cb
153,Michael Redd,15780000.0,2008,0.22113025418376198,48.899,MIL,944701e5-4c7b-47c5-a3a2-bb640007372c
154,Richard Jefferson,13200000.0,2008,0.18497587802443968,34.216,MIL,ae0878bd-1bac-4208-9e7f-77d7fd358a1f
155,Luke Ridnour,6500000.0,2008,0.09108660660294378,8.297,MIL,a5863df0-fc34-44d6-b6cc-29cafb446dd6
156,Andrew Bogut,6294310.0,2008,0.08820420597030386,7.78,MIL,d96147fc-88ce-422f-b440-0fc011fac2d5
157,Dan Gadzuric,6250195.0,2008,0.08758600817795173,7.671,MIL,e6a5949e-a058-4114-aabd-0e16654cdeda
158,Damon Jones,4460186.0,2008,0.06250203193199345,3.907,MIL,4f39fd49-af13-4c1a-b3cb-09a7153f9b38
159,Charlie Villanueva,3448050.0,2008,0.04831864213804313,4.832,MIL,8e2a375f-b679-4adb-b559-9169ed23ded5
160,Charlie Bell,3354480.0,2008,0.047007415402683515,4.701,MIL,2b18f4bd-d9b6-4597-9ee5-55d17e94ee35
161,Keith Bogans,2565000.0,2008,0.035944176297930897,3.594,MIL,8c954282-64f2-4b29-be3a-f613f4999a3f
162,Joe Alexander,2403120.0,2008,0.03367569939379481,3.368,MIL,16179845-15e6-4d7e-b3a8-42cf4357a856
163,Adrian Griffin,1711000.0,2008,0.023976797522713356,2.398,MIL,b89070d5-e250-4dc6-aef3-fd2419a20d03
164,Francisco Elson,1700000.0,2008,0.023822650957692988,2.382,MIL,9a076bc2-3a18-47cd-b09f-bd82510744ac
165,Malik Allen,1300000.0,2008,0.01821732132058876,1.822,MIL,6c881a9f-326a-4c7c-8b77-64040bbf30b8
166,Luc Mbah a Moute,757000.0,2008,0.01060808633821976,1.061,MIL,8daada68-1961-4c86-95b4-665a06bd28dd
167,Ramon Sessions,722517.0,2008,0.010124864883529098,1.012,MIL,ba30750d-e568-49a2-9d61-1a2c02b2c9eb
168,Austin Croshere,527185.0,2008,0.007387614261841987,0.739,MIL,ae83a672-c6be-4244-ba60-d87e113250b9
169,Austin Croshere,74251.0,2008,0.0010915975947070181,0.109,SA,ae83a672-c6be-4244-ba60-d87e113250b9
170,Eddie Gill,387613.0,2008,0.005431746591567208,0.543,MIL,0d942dc7-1b81-48d2-8c12-f24c17fc27f6
171,Gilbert Arenas,14653466.0,2008,0.20713569311430505,42.905,WSH,0a21b475-e840-4031-9c72-7b32c63c3721
172,Antawn Jamison,9923285.0,2008,0.14027169520479227,19.676,WSH,723063d2-7943-425a-b594-87715e7cb912
173,Caron Butler,9249980.0,2008,0.1307541177352484,17.097,WSH,b9856f28-e40d-41b5-b3b9-1e191f7460b2
174,Etan Thomas,6864200.0,2008,0.0970296600596209,9.415,WSH,ab74915b-d2c6-40d9-ad99-61f992b3b706
