,player,uuid
325,Bimbo Coles,fd5ff25c-e06e-4109-86fd-aae79146ff69
326,Terry Davis,b581d1d6-5751-48b3-8d66-ce5dce2c616d
327,Keith Askins,54733ba6-21b8-4e27-8c0b-f3f94946d755
328,Alan Ogg,67200c57-0a14-4e0c-ab95-0ce2fc0d57c3
329,Tony Campbell,d0b712d1-fdf1-44dd-91cc-13b6cc471f73
330,Randy Breuer,23f9f709-b0bf-459c-b9d4-92083d95ef84
331,Felton Spencer,23c32d73-b8af-416c-b767-79c9e8c8f069
332,Tyrone Corbin,2333fb56-5711-47c8-88ac-873809c87028
333,Pooh Richardson,0e4892d7-48eb-4b51-b21f-89996f6ed64f
334,Tod Murphy,3a66a0fe-9494-4583-9203-125ff226468a
335,Gerald Glass,2d04d746-82ab-4dcd-b3c7-173345ca79a1
336,Sam Mitchell,0d9a2e23-464c-4e2a-91cd-869710ee5ef8
337,Bob Thornton,0147d5b0-b20f-42a9-9a0b-8ee6f203792a
338,Scott Brooks,806c8dd0-54e2-4473-a635-f5003b31a7dd
339,Doug West,16a509f4-2e88-41a1-91f2-c7c79a99a7bb
340,Richard Coffey,359e5102-2552-4770-8543-475d1f90a62a
341,Dennis Scott,3d0730d9-64e4-470d-82c1-0dffd8105932
342,Terry Catledge,ac79038e-82f9-4054-8042-cf48a9aa3d3b
343,Sam Vincent,936072c3-7e47-4253-b8e9-cd1b8fa3a528
344,Nick Anderson,bb214207-755d-4c90-9f69-637609f05ee6
345,Greg Kite,83437886-a0b5-4bae-a168-398a1e321f8b
346,Jerry Reynolds,007a2a38-8cb3-472e-9bdf-9776a5777e65
347,Otis Smith,d871df9a-7f0b-4a75-8487-9f84244ea87c
348,Mark Acres,ebcb97a8-f344-48c5-9ffa-5b2fd49749d5
349,Jeff Turner,b24f885f-af14-4c5f-acd7-0bc52606918b
350,Scott Skiles,1190be29-8300-464b-8873-4e37ce0bb04f
351,Morlon Wiley,ebc8baa5-2045-4894-9f78-1cc9ef2d5d35
352,Michael Ansley,b68f6297-f327-407a-8e92-dc5e560959e3
353,Rick Fox,ecffeb31-7eb9-4fd6-889f-a7684e3eeadf
354,Jim Paxson,9d6292a1-6d80-44d1-b964-70052c277e4b
355,Terrell Brandon,823fab52-6900-49dc-84a3-9402c2c86964
356,Jimmy Oliver,6620b26e-324c-4fb4-a5ad-99a9244957e6
357,Mark Randall,4d0f1217-286a-46c7-8c79-99ccf66fbb0f
358,Chuck Nevitt,6870538a-c56e-4dff-b98f-9bb030791345
359,Keith Owens,3393d418-067a-480a-8eae-b918dcd86c53
360,Brad Sellers,de4995bc-c556-4322-9976-fa12089c7fb4
361,Mark Hughes,43a99a48-69ec-459a-8440-60314d87fd3f
362,Bob McCann,caba415b-7efd-434d-b076-eb1de88ff11d
363,Charles Thomas,5078ed00-f879-4f1f-8a0b-f643d45fd7e0
364,Dale Davis,9bd7b705-76b9-4cd9-b230-4872e38108fd
365,Sean Green,ca3e28e0-935b-4913-9a3e-264d26ea91fe
366,Charles Shackleford,7d39f815-2516-453f-8e1a-dee2f2da9ea5
367,Andrew Toney,10411832-fb9a-4394-9968-0187b6d7efb0
368,Mitchell Wiggins,b1593291-d45e-44f6-906f-7ea0644a3bda
369,Derek Strong,8d6882b4-bf33-444d-ae74-d3b2bbce1b3e
370,Robert Reid,d1587e7e-edf1-4162-8972-db120b06057a
371,Tharon Mayes,49390c44-6225-437a-956d-ddc0c8ee27df
372,Rich King,1bf5ce6c-4265-467b-84b8-573387a256dd
373,Bart Kofoed,1d7dd3cb-f5f4-412e-ad6b-12a94dc786e5
374,Marty Conlon,323c33b9-0edb-4a29-86a2-3e49c693de82
375,Mike Woodson,f3dbd37f-6ece-4125-bd26-8774230ca97b
